photo_id,scientificName,kingdom,phylum,class,order,family,genus,species,common_name,taxonRank,photo_url,image_path,text_description
21332,Caiman yacare,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,yacare,Yacare Caiman,species,http://inaturalist-open-data.s3.amazonaws.com/photos/21332/medium.jpg,biotrove_processed/images/21332.jpg,"Caiman yacare (Yacare Caiman) - Alligatoridae, Order Crocodylia, Class Reptilia"
22094,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,imbricata,Hawksbill,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22094/medium.JPG,biotrove_processed/images/22094.jpg,"Eretmochelys imbricata (Hawksbill) - Cheloniidae, Order Testudines, Class Reptilia"
22585,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,imbricata,Hawksbill,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22585/medium.JPG,biotrove_processed/images/22585.jpg,"Eretmochelys imbricata (Hawksbill) - Cheloniidae, Order Testudines, Class Reptilia"
22100,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,Green Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22100/medium.jpg,biotrove_processed/images/22100.jpg,"Chelonia mydas (Green Turtle) - Cheloniidae, Order Testudines, Class Reptilia"
22104,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,Green Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22104/medium.jpg,biotrove_processed/images/22104.jpg,"Chelonia mydas (Green Turtle) - Cheloniidae, Order Testudines, Class Reptilia"
62781,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,Green Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/62781/medium.JPG,biotrove_processed/images/62781.jpg,"Chelonia mydas (Green Turtle) - Cheloniidae, Order Testudines, Class Reptilia"
22173,Bothrops atrox,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,atrox,Barba Amarilla,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22173/medium.jpg,biotrove_processed/images/22173.jpg,"Bothrops atrox (Barba Amarilla) - Viperidae, Order Squamata, Class Reptilia"
36434,Bothrops atrox,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,atrox,Barba Amarilla,species,http://inaturalist-open-data.s3.amazonaws.com/photos/36434/medium.jpg,biotrove_processed/images/36434.jpg,"Bothrops atrox (Barba Amarilla) - Viperidae, Order Squamata, Class Reptilia"
22174,Erythrolamprus aesculapii,Animalia,Chordata,Reptilia,Squamata,Colubridae,Erythrolamprus,aesculapii,Aesculapian False Coral Snake,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22174/medium.jpg,biotrove_processed/images/22174.jpg,"Erythrolamprus aesculapii (Aesculapian False Coral Snake) - Colubridae, Order Squamata, Class Reptilia"
35967,Erythrolamprus aesculapii,Animalia,Chordata,Reptilia,Squamata,Colubridae,Erythrolamprus,aesculapii,Aesculapian False Coral Snake,species,http://inaturalist-open-data.s3.amazonaws.com/photos/35967/medium.jpg,biotrove_processed/images/35967.jpg,"Erythrolamprus aesculapii (Aesculapian False Coral Snake) - Colubridae, Order Squamata, Class Reptilia"
22294,Crocodylus niloticus,Animalia,Chordata,Reptilia,Crocodylia,Crocodylidae,Crocodylus,niloticus,Nile Crocodile,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22294/medium.jpg,biotrove_processed/images/22294.jpg,"Crocodylus niloticus (Nile Crocodile) - Crocodylidae, Order Crocodylia, Class Reptilia"
22398,Alligator mississippiensis,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,American Alligator,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22398/medium.jpg,biotrove_processed/images/22398.jpg,"Alligator mississippiensis (American Alligator) - Alligatoridae, Order Crocodylia, Class Reptilia"
22409,Crocodylus acutus,Animalia,Chordata,Reptilia,Crocodylia,Crocodylidae,Crocodylus,acutus,American Crocodile,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22409/medium.jpg,biotrove_processed/images/22409.jpg,"Crocodylus acutus (American Crocodile) - Crocodylidae, Order Crocodylia, Class Reptilia"
22416,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,Green Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22416/medium.JPG,biotrove_processed/images/22416.jpg,"Chelonia mydas (Green Turtle) - Cheloniidae, Order Testudines, Class Reptilia"
22417,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,Green Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22417/medium.jpg,biotrove_processed/images/22417.jpg,"Chelonia mydas (Green Turtle) - Cheloniidae, Order Testudines, Class Reptilia"
22466,Pseudemys nelsoni,Animalia,Chordata,Reptilia,Testudines,Emydidae,Pseudemys,nelsoni,Florida Redbelly Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22466/medium.jpg,biotrove_processed/images/22466.jpg,"Pseudemys nelsoni (Florida Redbelly Turtle) - Emydidae, Order Testudines, Class Reptilia"
22471,Alligator mississippiensis,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,American Alligator,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22471/medium.jpg,biotrove_processed/images/22471.jpg,"Alligator mississippiensis (American Alligator) - Alligatoridae, Order Crocodylia, Class Reptilia"
22524,Stigmochelys pardalis,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Stigmochelys,pardalis,Leopard Tortoise,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22524/medium.jpg,biotrove_processed/images/22524.jpg,"Stigmochelys pardalis (Leopard Tortoise) - Testudinidae, Order Testudines, Class Reptilia"
22657,Sceloporus occidentalis,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,occidentalis,Western Fence Lizard,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22657/medium.jpg,biotrove_processed/images/22657.jpg,"Sceloporus occidentalis (Western Fence Lizard) - Phrynosomatidae, Order Squamata, Class Reptilia"
22658,Sceloporus occidentalis,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,occidentalis,Western Fence Lizard,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22658/medium.jpg,biotrove_processed/images/22658.jpg,"Sceloporus occidentalis (Western Fence Lizard) - Phrynosomatidae, Order Squamata, Class Reptilia"
22630,Elgaria multicarinata,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,multicarinata,Southern Alligator Lizard,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22630/medium.jpg,biotrove_processed/images/22630.jpg,"Elgaria multicarinata (Southern Alligator Lizard) - Anguidae, Order Squamata, Class Reptilia"
