photo_id,scientificName,kingdom,phylum,class,order,family,genus,species,common_name,taxonRank,photo_url
21332,Caiman yacare,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Caiman,yacare,Yacare Caiman,species,http://inaturalist-open-data.s3.amazonaws.com/photos/21332/medium.jpg
22094,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,imbricata,Hawksbill,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22094/medium.JPG
22585,Eretmochelys imbricata,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,imbricata,Hawksbill,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22585/medium.JPG
22100,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,Green Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22100/medium.jpg
22104,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,Green Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22104/medium.jpg
62781,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,Green Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/62781/medium.JPG
22173,Bothrops atrox,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,atrox,Barba Amarilla,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22173/medium.jpg
36434,Bothrops atrox,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,atrox,Barba Amarilla,species,http://inaturalist-open-data.s3.amazonaws.com/photos/36434/medium.jpg
22174,Erythrolamprus aesculapii,Animalia,Chordata,Reptilia,Squamata,Colubridae,Erythrolamprus,aesculapii,Aesculapian False Coral Snake,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22174/medium.jpg
35967,Erythrolamprus aesculapii,Animalia,Chordata,Reptilia,Squamata,Colubridae,Erythrolamprus,aesculapii,Aesculapian False Coral Snake,species,http://inaturalist-open-data.s3.amazonaws.com/photos/35967/medium.jpg
22294,Crocodylus niloticus,Animalia,Chordata,Reptilia,Crocodylia,Crocodylidae,Crocodylus,niloticus,Nile Crocodile,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22294/medium.jpg
22398,Alligator mississippiensis,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,American Alligator,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22398/medium.jpg
22409,Crocodylus acutus,Animalia,Chordata,Reptilia,Crocodylia,Crocodylidae,Crocodylus,acutus,American Crocodile,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22409/medium.jpg
22416,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,Green Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22416/medium.JPG
22417,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,Green Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22417/medium.jpg
22466,Pseudemys nelsoni,Animalia,Chordata,Reptilia,Testudines,Emydidae,Pseudemys,nelsoni,Florida Redbelly Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22466/medium.jpg
22471,Alligator mississippiensis,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,American Alligator,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22471/medium.jpg
22524,Stigmochelys pardalis,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Stigmochelys,pardalis,Leopard Tortoise,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22524/medium.jpg
22657,Sceloporus occidentalis,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,occidentalis,Western Fence Lizard,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22657/medium.jpg
22658,Sceloporus occidentalis,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus,occidentalis,Western Fence Lizard,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22658/medium.jpg
22630,Elgaria multicarinata,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,multicarinata,Southern Alligator Lizard,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22630/medium.jpg
22631,Elgaria multicarinata,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,multicarinata,Southern Alligator Lizard,species,http://inaturalist-open-data.s3.amazonaws.com/photos/22631/medium.jpg
23063,Plestiodon skiltonianus,Animalia,Chordata,Reptilia,Squamata,Scincidae,Plestiodon,skiltonianus,Western Skink,species,http://inaturalist-open-data.s3.amazonaws.com/photos/23063/medium.jpg
23064,Plestiodon skiltonianus,Animalia,Chordata,Reptilia,Squamata,Scincidae,Plestiodon,skiltonianus,Western Skink,species,http://inaturalist-open-data.s3.amazonaws.com/photos/23064/medium.jpg
23113,Chelonia mydas,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,Green Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/23113/medium.jpg
23511,Alligator mississippiensis,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,American Alligator,species,http://inaturalist-open-data.s3.amazonaws.com/photos/23511/medium.jpg
23839,Elgaria multicarinata,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,multicarinata,Southern Alligator Lizard,species,http://inaturalist-open-data.s3.amazonaws.com/photos/23839/medium.JPG
23840,Elgaria multicarinata,Animalia,Chordata,Reptilia,Squamata,Anguidae,Elgaria,multicarinata,Southern Alligator Lizard,species,http://inaturalist-open-data.s3.amazonaws.com/photos/23840/medium.JPG
249972,Actinemys marmorata,Animalia,Chordata,Reptilia,Testudines,Emydidae,Actinemys,marmorata,Western Pond Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/249972/medium.jpg
249971,Actinemys marmorata,Animalia,Chordata,Reptilia,Testudines,Emydidae,Actinemys,marmorata,Western Pond Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/249971/medium.jpg
252075,Gekko albomaculatus,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Gekko,albomaculatus,Smith's Gecko,species,http://inaturalist-open-data.s3.amazonaws.com/photos/252075/medium.jpg
392191,Dipsosaurus dorsalis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Dipsosaurus,dorsalis,Desert Iguana,species,http://inaturalist-open-data.s3.amazonaws.com/photos/392191/medium.jpg
199462,Gopherus agassizii,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus,agassizii,Agassiz’s Desert Tortoise,species,http://inaturalist-open-data.s3.amazonaws.com/photos/199462/medium.JPG
199464,Gopherus agassizii,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Gopherus,agassizii,Agassiz’s Desert Tortoise,species,http://inaturalist-open-data.s3.amazonaws.com/photos/199464/medium.JPG
23941,Sauromalus ater,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Sauromalus,ater,Common Chuckwalla,species,http://inaturalist-open-data.s3.amazonaws.com/photos/23941/medium.jpg
393244,Crotaphytus bicinctores,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus,bicinctores,Desert Collared Lizard,species,http://inaturalist-open-data.s3.amazonaws.com/photos/393244/medium.jpg
393243,Crotaphytus bicinctores,Animalia,Chordata,Reptilia,Squamata,Crotaphytidae,Crotaphytus,bicinctores,Desert Collared Lizard,species,http://inaturalist-open-data.s3.amazonaws.com/photos/393243/medium.jpg
24316,Agama agama,Animalia,Chordata,Reptilia,Squamata,Agamidae,Agama,agama,Rainbow Agama,species,http://inaturalist-open-data.s3.amazonaws.com/photos/24316/medium.jpg
25045,Apalone ferox,Animalia,Chordata,Reptilia,Testudines,Trionychidae,Apalone,ferox,Florida Softshell Turtle,species,http://inaturalist-open-data.s3.amazonaws.com/photos/25045/medium.jpg
199461,Dipsosaurus dorsalis,Animalia,Chordata,Reptilia,Squamata,Iguanidae,Dipsosaurus,dorsalis,Desert Iguana,species,http://inaturalist-open-data.s3.amazonaws.com/photos/199461/medium.JPG
